DELIVERY_DATE,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],measurement_name
2024-02-05,2024-02-04 09:18:39.072,2024-02-05 07:50:00,2024-02-05 08:05:00,aFRR,NEG_034,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.672,2024-02-05 08:05:00,2024-02-05 08:20:00,aFRR,NEG_035,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.310,2024-02-05 08:20:00,2024-02-05 08:35:00,aFRR,NEG_036,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.092,2024-02-05 08:35:00,2024-02-05 08:50:00,aFRR,NEG_037,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.603,2024-02-05 08:50:00,2024-02-05 09:05:00,aFRR,NEG_038,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.358,2024-02-05 09:05:00,2024-02-05 09:20:00,aFRR,NEG_039,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:56.150,2024-02-05 09:20:00,2024-02-05 09:35:00,aFRR,NEG_040,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.376,2024-02-05 09:35:00,2024-02-05 09:50:00,aFRR,NEG_041,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.560,2024-02-05 09:50:00,2024-02-05 10:05:00,aFRR,NEG_042,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:19:00.013,2024-02-05 10:05:00,2024-02-05 10:20:00,aFRR,NEG_043,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.228,2024-02-05 10:20:00,2024-02-05 10:35:00,aFRR,NEG_044,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:53.587,2024-02-05 10:35:00,2024-02-05 10:50:00,aFRR,NEG_045,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:46.634,2024-02-05 10:50:00,2024-02-05 11:05:00,aFRR,NEG_046,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.072,2024-02-05 11:05:00,2024-02-05 11:20:00,aFRR,NEG_047,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.072,2024-02-05 11:20:00,2024-02-05 11:35:00,aFRR,NEG_048,1867,energy_afrr_demand
2024-02-05,2024-02-04 09:19:03.781,2024-02-05 11:35:00,2024-02-05 11:50:00,aFRR,NEG_049,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.228,2024-02-05 11:50:00,2024-02-05 12:05:00,aFRR,NEG_050,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:55.462,2024-02-05 12:05:00,2024-02-05 12:20:00,aFRR,NEG_051,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:53.291,2024-02-05 12:20:00,2024-02-05 12:35:00,aFRR,NEG_052,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.853,2024-02-05 12:35:00,2024-02-05 12:50:00,aFRR,NEG_053,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.634,2024-02-05 12:50:00,2024-02-05 13:05:00,aFRR,NEG_054,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:51.835,2024-02-05 13:05:00,2024-02-05 13:20:00,aFRR,NEG_055,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:57.103,2024-02-05 13:20:00,2024-02-05 13:35:00,aFRR,NEG_056,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.312,2024-02-05 13:35:00,2024-02-05 13:50:00,aFRR,NEG_057,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:45.994,2024-02-05 13:50:00,2024-02-05 14:05:00,aFRR,NEG_058,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.744,2024-02-05 14:05:00,2024-02-05 14:20:00,aFRR,NEG_059,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.028,2024-02-05 14:20:00,2024-02-05 14:35:00,aFRR,NEG_060,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.916,2024-02-05 14:35:00,2024-02-05 14:50:00,aFRR,NEG_061,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:19:13.810,2024-02-05 14:50:00,2024-02-05 15:05:00,aFRR,NEG_062,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.420,2024-02-05 15:05:00,2024-02-05 15:20:00,aFRR,NEG_063,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.247,2024-02-05 15:20:00,2024-02-05 15:35:00,aFRR,NEG_064,1917,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.713,2024-02-05 15:35:00,2024-02-05 15:50:00,aFRR,NEG_065,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.325,2024-02-05 15:50:00,2024-02-05 16:05:00,aFRR,NEG_066,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.888,2024-02-05 16:05:00,2024-02-05 16:20:00,aFRR,NEG_067,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:54.166,2024-02-05 16:20:00,2024-02-05 16:35:00,aFRR,NEG_068,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.463,2024-02-05 16:35:00,2024-02-05 16:50:00,aFRR,NEG_069,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.123,2024-02-05 16:50:00,2024-02-05 17:05:00,aFRR,NEG_070,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:54.273,2024-02-05 17:05:00,2024-02-05 17:20:00,aFRR,NEG_071,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.388,2024-02-05 17:20:00,2024-02-05 17:35:00,aFRR,NEG_072,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:19:03.548,2024-02-05 17:35:00,2024-02-05 17:50:00,aFRR,NEG_073,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.089,2024-02-05 17:50:00,2024-02-05 18:05:00,aFRR,NEG_074,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:53.025,2024-02-05 18:05:00,2024-02-05 18:20:00,aFRR,NEG_075,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:47.103,2024-02-05 18:20:00,2024-02-05 18:35:00,aFRR,NEG_076,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.982,2024-02-05 18:35:00,2024-02-05 18:50:00,aFRR,NEG_077,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.665,2024-02-05 18:50:00,2024-02-05 19:05:00,aFRR,NEG_078,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.060,2024-02-05 19:05:00,2024-02-05 19:20:00,aFRR,NEG_079,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.041,2024-02-05 19:20:00,2024-02-05 19:35:00,aFRR,NEG_080,1941,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.998,2024-02-05 19:35:00,2024-02-05 19:50:00,aFRR,NEG_081,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.987,2024-02-05 19:50:00,2024-02-05 20:05:00,aFRR,NEG_082,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.799,2024-02-05 20:05:00,2024-02-05 20:20:00,aFRR,NEG_083,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.481,2024-02-05 20:20:00,2024-02-05 20:35:00,aFRR,NEG_084,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:03.919,2024-02-05 20:35:00,2024-02-05 20:50:00,aFRR,NEG_085,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:06.496,2024-02-05 20:50:00,2024-02-05 21:05:00,aFRR,NEG_086,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.830,2024-02-05 21:05:00,2024-02-05 21:20:00,aFRR,NEG_087,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.633,2024-02-05 21:20:00,2024-02-05 21:35:00,aFRR,NEG_088,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.853,2024-02-05 21:35:00,2024-02-05 21:50:00,aFRR,NEG_089,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.076,2024-02-05 21:50:00,2024-02-05 22:05:00,aFRR,NEG_090,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.543,2024-02-05 22:05:00,2024-02-05 22:20:00,aFRR,NEG_091,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:39.041,2024-02-05 22:20:00,2024-02-05 22:35:00,aFRR,NEG_092,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:48.451,2024-02-05 22:35:00,2024-02-05 22:50:00,aFRR,NEG_093,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:57.244,2024-02-05 22:50:00,2024-02-05 23:05:00,aFRR,NEG_094,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.263,2024-02-05 23:05:00,2024-02-05 23:20:00,aFRR,NEG_095,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:19:04.853,2024-02-05 23:20:00,2024-02-05 23:35:00,aFRR,NEG_096,1791,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.904,2024-02-04 23:35:00,2024-02-04 23:50:00,aFRR,POS_001,1838,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.963,2024-02-04 23:50:00,2024-02-05 00:05:00,aFRR,POS_002,1838,energy_afrr_demand
